Plataforma,IP,Hostname,Ciudad,Modelo,EoL Status,ios,Version
Fija,10.10.66.8,A1KBUENAVENTURACENTRO,BUENAVENTURA.,ASR1006,No Yet Cataloged,XE,asr1000rp2-advipservicesk9.03.16.02.S.155-3.S2-ext
Fija,10.10.66.3,A1KCUCUTA,CUCUTA,ASR1006,No Yet Cataloged,XE,asr1000rp2-advipservicesk9.03.10.04.S.153-3.S4-ext
Fija,10.10.66.31,A1KDORADO,BOGOTA,ASR1006,Vigente,XE,asr1000rp2-advipservicesk9.03.10.04.S.153-3.S4-ext
Fija,10.10.66.197,A1KMONTERIA,MONTERIA.,ASR1006,No Yet Cataloged,XE,asr1000rp2-advipservicesk9.03.10.04.S.153-3.S4-ext
Fija,10.10.66.5,A1KSANTAMARTA,SANTAMARTA.,ASR1006,No Yet Cataloged,XE,asr1000rp2-advipservicesk9.03.10.04.S.153-3.S4-ext
Fija,10.10.66.42,A1KSINCELEJO,SINCELEJO,ASR1006,No Yet Cataloged,XE,asr1000rp2-advipservicesk9.03.10.04.S.153-3.S4-ext
Fija,10.10.66.2,A1KVILLAVICENCIO,VILLAVICENCIO.,ASR1006,No Yet Cataloged,XE,asr1000rp2-advipservicesk9.03.10.04.S.153-3.S4-ext
Fija,10.10.66.166,A9KBOSTON,CARTAGENA,ASR9K,No Yet Cataloged,XR,5.3.3
Fija,10.10.66.167,A9KBQWTC,BARRANQUILLA,ASR9K,No Yet Cataloged,XR,5.3.4
Fija,10.10.66.236,A9KBUCARAMANGA,BUCARAMANGA,ASR9K,No Yet Cataloged,XR,5.3.4
Fija,10.10.66.1,A9KCENTRO,BOGOTA,ASR9K,EoS,XR,5.3.4
Fija,10.10.66.9,A9KCFINANCIERO,BOGOTA,ASR9K,EoS,XR,5.3.4
Fija,10.10.66.170,A9KDOSQUEBRADAS,PEREIRA,ASR9K,No Yet Cataloged,XR,5.3.4
Fija,10.10.66.73,A9KESPACIOSUR,MEDELLIN,ASR9K,No Yet Cataloged,XR,5.3.4
